ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,ZIP_CODE,STATE
63581743,0,16MAR39,60.0,0,11.0,"$67,349",No,$0,z_No,M,PhD,Professional,14,Private,"$14,230",11,Minivan,yes,"$4,461",2.0,No,3,0.0,18.0,0,Highly Urban/ Urban,11282,NE
132761049,0,21JAN56,43.0,0,11.0,"$91,449",No,"$257,252",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940",1,Minivan,yes,$0,0.0,No,0,0.0,1.0,0,Highly Urban/ Urban,11714,FL
921317019,0,18NOV51,48.0,0,11.0,"$52,881",No,$0,z_No,M,Bachelors,Manager,26,Private,"$21,970",1,Van,yes,$0,0.0,No,2,0.0,10.0,0,Highly Urban/ Urban,13483,AK
727598473,0,05MAR64,35.0,1,10.0,"$16,039",No,"$124,191",Yes,z_F,z_High School,Clerical,5,Private,"$4,010",4,z_SUV,no,"$38,690",2.0,No,3,0.0,10.0,0,Highly Urban/ Urban,11291,FL
450221861,0,05JUN48,51.0,0,14.0,,No,"$306,251",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440",7,Minivan,yes,$0,0.0,No,0,0.0,6.0,0,Highly Urban/ Urban,13438,NY
743146596,0,17MAY49,50.0,0,,"$114,986",No,"$243,925",Yes,z_F,PhD,Doctor,36,Private,"$18,000",1,z_SUV,no,"$19,217",2.0,Yes,3,0.0,17.0,0,Highly Urban/ Urban,16633,KY
871024631,0,05MAY65,34.0,1,12.0,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0.0,No,0,2946.0,7.0,1,Highly Urban/ Urban,15273,SC
792300541,0,28FEB45,54.0,0,,"$18,755",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780",1,z_SUV,no,$0,0.0,No,0,0.0,1.0,0,Highly Urban/ Urban,10155,CA
7945239,1,17SEP59,40.0,1,11.0,"$50,815",Yes,$0,z_No,M,z_High School,Manager,21,Private,"$18,930",6,Minivan,no,"$3,295",1.0,No,2,6477.0,1.0,1,Highly Urban/ Urban,15667,WY
3577610,0,21AUG55,44.0,2,12.0,"$43,486",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,"$5,900",10,z_SUV,no,$0,0.0,No,0,0.0,10.0,0,z_Highly Rural/ Rural,14793,KS
892208080,1,14DEC61,37.0,2,,"$107,961",No,"$333,680",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970",1,Van,yes,"$2,374",1.0,Yes,10,4021.0,7.0,1,Highly Urban/ Urban,11624,CO
77382913,0,22NOV64,34.0,0,10.0,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0.0,No,0,2501.0,1.0,1,Highly Urban/ Urban,11197,UT
856886560,0,22OCT49,50.0,0,7.0,"$106,952",No,$0,z_No,M,Bachelors,Professional,48,Commercial,"$18,510",7,Van,no,$0,0.0,No,1,0.0,17.0,0,z_Highly Rural/ Rural,15290,NM
308455362,0,25DEC45,53.0,0,14.0,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0.0,No,0,6077.0,11.0,1,Highly Urban/ Urban,13917,MT
989828809,0,19JUN56,43.0,0,5.0,"$52,642",No,"$209,970",Yes,z_F,Masters,Professional,36,Private,"$22,420",7,Minivan,no,$0,0.0,No,0,0.0,1.0,0,z_Highly Rural/ Rural,16975,ME
376482434,0,03MAR44,55.0,0,11.0,"$59,162",No,"$180,232",Yes,M,Bachelors,Manager,25,Commercial,"$17,600",7,Van,yes,"$5,028",2.0,Yes,3,0.0,9.0,0,Highly Urban/ Urban,15462,AL
665591504,0,19JUL46,53.0,0,11.0,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0.0,No,3,1267.0,10.0,1,Highly Urban/ Urban,14048,IL
713692930,0,17AUG64,35.0,2,,"$21,204",Yes,$0,z_No,M,z_High School,Clerical,74,Private,"$9,230",6,Pickup,no,$0,0.0,Yes,0,0.0,4.0,0,z_Highly Rural/ Rural,16506,AL
588888550,0,17JAN54,45.0,0,0.0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0.0,No,3,2920.0,5.0,1,Highly Urban/ Urban,13534,AR
140015922,0,06AUG60,39.0,3,12.0,"$51,884",Yes,"$180,951",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590",6,z_SUV,no,$0,0.0,No,0,0.0,13.0,0,z_Highly Rural/ Rural,14332,WI
162166370,0,19APR40,59.0,0,12.0,"$87,460",No,$0,z_No,M,z_High School,Manager,45,Private,"$15,420",1,Minivan,yes,"$44,857",2.0,No,4,4111.0,1.0,1,Highly Urban/ Urban,17830,IN
884513944,0,20DEC56,42.0,0,11.0,"$59,945",No,"$192,207",Yes,M,Masters,Lawyer,42,Private,"$14,190",6,Minivan,no,$0,0.0,No,0,0.0,16.0,0,Highly Urban/ Urban,17439,IN
627708979,0,14SEP65,34.0,3,13.0,"$34,019",No,"$91,875",Yes,z_F,Masters,Lawyer,27,Private,"$8,300",7,z_SUV,no,$0,0.0,No,0,0.0,20.0,0,Highly Urban/ Urban,17810,LA
116375554,0,06OCT68,31.0,2,12.0,"$18,903",No,"$93,797",Yes,z_F,<High School,Clerical,48,Private,"$17,330",4,Minivan,no,$0,0.0,No,0,0.0,7.0,0,Highly Urban/ Urban,10848,MT
235358484,0,22FEB71,28.0,1,13.0,"$44,077",No,"$170,598",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710",6,z_SUV,no,"$8,935",2.0,No,0,6857.0,1.0,1,Highly Urban/ Urban,10641,MA
528040687,0,07FEB56,43.0,0,13.0,"$37,214",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560",1,Panel Truck,yes,$0,0.0,No,3,3627.0,1.0,1,Highly Urban/ Urban,11837,TN
652572577,0,16DEC50,48.0,0,14.0,"$96,274",No,"$282,904",Yes,z_F,Masters,Lawyer,36,Private,"$11,130",6,z_SUV,no,"$8,250",1.0,No,5,0.0,14.0,0,Highly Urban/ Urban,11769,HI
410873772,0,24JUL52,47.0,0,11.0,"$46,281",No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700",10,Minivan,no,$0,0.0,No,1,0.0,5.0,0,Highly Urban/ Urban,16198,KS
254362485,2,06JUL55,44.0,2,0.0,$0,No,"$82,344",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900",6,z_SUV,no,"$3,338",3.0,No,0,0.0,11.0,0,Highly Urban/ Urban,14931,IA
69165559,0,14APR53,46.0,0,14.0,,No,"$207,519",Yes,M,Bachelors,Professional,7,Commercial,"$25,660",1,Panel Truck,no,"$2,119",1.0,No,2,0.0,12.0,0,Highly Urban/ Urban,17927,MN
201327208,0,14DEC38,60.0,0,12.0,"$37,940",No,"$182,739",Yes,z_F,z_High School,z_Blue Collar,16,Commercial,"$11,290",1,Sports Car,no,$0,0.0,No,0,5247.0,1.0,1,Highly Urban/ Urban,10383,IA
573751437,0,14DEC65,33.0,1,13.0,"$79,606",No,"$225,962",Yes,z_F,Bachelors,Professional,27,Private,"$16,830",9,z_SUV,no,$0,0.0,No,2,0.0,15.0,0,z_Highly Rural/ Rural,10411,MI
483050926,0,17APR67,32.0,1,9.0,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0.0,No,0,4486.0,1.0,1,Highly Urban/ Urban,17283,PA
146989842,1,09APR55,44.0,2,17.0,"$45,488",No,"$219,378",Yes,M,Bachelors,Manager,16,Private,"$22,090",17,Minivan,no,$0,0.0,No,0,0.0,12.0,0,Highly Urban/ Urban,16461,PA
742435591,0,05APR64,35.0,0,8.0,"$72,193",No,$0,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220",6,z_SUV,no,$0,0.0,No,3,0.0,12.0,0,Highly Urban/ Urban,17924,PA
915517588,0,06MAY59,40.0,2,0.0,,No,"$98,777",Yes,z_F,Masters,Home Maker,15,Private,"$14,130",6,z_SUV,no,"$38,127",2.0,Yes,4,0.0,12.0,0,z_Highly Rural/ Rural,16210,NH
756785495,0,15MAY45,54.0,0,12.0,"$33,212",No,"$158,432",Yes,M,<High School,z_Blue Collar,27,Commercial,"$24,000",4,Panel Truck,no,$0,0.0,No,5,4901.0,,1,Highly Urban/ Urban,10627,WY
66662029,0,14FEB50,49.0,0,5.0,"$49,244",No,"$163,444",Yes,M,Bachelors,Clerical,30,Private,"$15,880",1,Minivan,no,$0,0.0,No,1,0.0,1.0,0,Highly Urban/ Urban,12610,ME
294816298,2,03AUG63,36.0,2,12.0,"$130,540",Yes,"$344,195",z_No,z_F,Bachelors,z_Blue Collar,5,Commercial,"$27,200",4,Minivan,no,$0,0.0,No,0,0.0,9.0,0,z_Highly Rural/ Rural,13194,ID
686791659,0,07MAY47,52.0,0,8.0,"$51,278",No,"$230,340",Yes,z_F,Bachelors,Professional,37,Private,"$1,500",4,z_SUV,no,$0,0.0,No,1,0.0,10.0,0,Highly Urban/ Urban,16392,WV
269341556,0,28SEP58,41.0,0,7.0,"$92,842",No,"$286,113",z_No,M,Masters,,12,Commercial,"$25,810",6,Panel Truck,no,"$1,431",2.0,No,5,0.0,15.0,0,Highly Urban/ Urban,17303,FL
396972296,0,26JUL60,39.0,0,10.0,"$35,081",No,"$202,839",Yes,M,Bachelors,z_Blue Collar,38,Commercial,"$16,640",4,Van,yes,$0,0.0,No,0,0.0,13.0,0,Highly Urban/ Urban,16531,ND
364483168,0,09APR43,56.0,0,0.0,$0,No,"$63,827",Yes,z_F,PhD,Home Maker,65,Private,"$13,220",1,Minivan,no,$0,0.0,No,0,0.0,12.0,0,z_Highly Rural/ Rural,10724,RI
866093378,0,07MAR50,49.0,0,12.0,"$115,044",No,"$311,980",z_No,z_F,PhD,Doctor,18,Private,"$17,900",1,Minivan,no,$0,0.0,No,0,0.0,14.0,0,Highly Urban/ Urban,16669,OH
515421877,0,30MAY61,38.0,0,11.0,"$37,754",No,"$138,823",Yes,z_F,z_High School,Clerical,47,Private,"$12,080",1,z_SUV,no,$0,0.0,No,2,0.0,9.0,0,z_Highly Rural/ Rural,10031,UT
173737852,0,01JUN56,43.0,2,17.0,"$145,353",No,"$418,785",Yes,z_F,Masters,,38,Commercial,"$29,450",6,Van,no,$0,0.0,No,0,0.0,15.0,0,Highly Urban/ Urban,17170,LA
745183922,0,30JUN49,50.0,0,8.0,"$167,469",No,$0,z_No,z_F,PhD,Doctor,22,Private,"$34,150",4,Sports Car,no,$0,0.0,No,3,0.0,1.0,0,Highly Urban/ Urban,16791,MS
298271736,0,04NOV36,63.0,0,15.0,"$121,398",No,"$343,410",Yes,z_F,PhD,Doctor,10,Private,"$16,270",1,z_SUV,no,$0,0.0,No,0,0.0,11.0,0,Highly Urban/ Urban,12719,LA
70821537,0,12AUG47,52.0,0,0.0,$0,No,"$87,925",z_No,z_F,z_High School,Student,48,Commercial,"$9,280",1,z_SUV,no,$0,0.0,No,1,0.0,6.0,0,z_Highly Rural/ Rural,12653,NV
258951025,0,24OCT64,35.0,0,7.0,"$14,508",No,$0,Yes,M,Bachelors,Student,22,Commercial,"$6,450",1,Pickup,no,$0,0.0,No,0,0.0,7.0,0,Highly Urban/ Urban,10945,FL
807174588,0,16NOV56,43.0,0,13.0,"$75,338",No,"$270,555",Yes,z_F,Bachelors,Manager,40,Private,"$23,080",1,Sports Car,no,$0,0.0,No,0,0.0,8.0,0,Highly Urban/ Urban,11780,HI
514538041,0,06OCT58,41.0,0,10.0,"$32,774",No,$0,z_No,z_F,z_High School,Clerical,44,Private,"$20,120",4,Minivan,no,$0,0.0,No,0,0.0,1.0,0,z_Highly Rural/ Rural,15057,OR
25561360,0,08APR59,40.0,0,11.0,"$57,474",No,"$186,418",Yes,M,Bachelors,Clerical,5,Commercial,"$29,270",4,Panel Truck,yes,$0,0.0,No,1,0.0,5.0,0,Highly Urban/ Urban,16666,GA
753037176,0,07AUG68,31.0,1,12.0,"$26,520",No,"$154,493",Yes,M,Bachelors,Student,62,Commercial,"$4,600",6,Minivan,yes,$0,0.0,No,2,0.0,5.0,0,Highly Urban/ Urban,12956,VT
883748009,0,27OCT52,47.0,0,8.0,"$18,444",No,$0,Yes,z_F,z_High School,Student,35,Commercial,"$19,450",6,z_SUV,no,"$2,981",2.0,No,5,0.0,,0,Highly Urban/ Urban,11621,DE
31827166,0,06JAN46,53.0,0,,"$107,259",No,"$343,700",Yes,M,Masters,Professional,36,Private,"$29,230",10,Minivan,yes,$0,0.0,No,0,0.0,15.0,0,Highly Urban/ Urban,11687,MN
680782638,0,05JUN60,39.0,3,7.0,"$34,046",No,"$183,383",Yes,z_F,z_High School,Clerical,33,Private,"$4,040",6,z_SUV,no,$0,0.0,No,0,0.0,5.0,0,z_Highly Rural/ Rural,13048,ND
883604551,0,20MAY66,33.0,3,14.0,"$32,364",No,"$152,894",Yes,M,<High School,Clerical,40,Private,"$12,270",18,Minivan,yes,$0,0.0,No,3,0.0,1.0,0,Highly Urban/ Urban,10441,UT
714473703,0,02JAN40,59.0,0,5.0,"$106,775",No,,z_No,M,Masters,Lawyer,10,Private,"$31,930",1,Minivan,yes,$0,0.0,No,0,0.0,,0,Highly Urban/ Urban,17556,OK
213057541,0,29JAN57,42.0,0,,"$52,988",No,"$176,275",Yes,M,z_High School,z_Blue Collar,24,Commercial,"$23,450",1,Minivan,no,$0,0.0,No,2,0.0,11.0,0,z_Highly Rural/ Rural,13986,TN
885280620,0,26APR59,40.0,0,11.0,"$16,989",No,$0,z_No,M,<High School,z_Blue Collar,20,Commercial,"$12,230",4,Pickup,yes,"$26,104",1.0,Yes,13,6100.0,6.0,1,Highly Urban/ Urban,11900,MO
931739722,0,15JUL58,41.0,2,7.0,"$17,755",Yes,"$148,815",z_No,z_F,<High School,Clerical,29,Private,"$14,480",1,Minivan,yes,$0,0.0,Yes,2,0.0,1.0,0,Highly Urban/ Urban,13579,ME
939401184,1,20JAN62,37.0,2,13.0,,Yes,$0,z_No,z_F,z_High School,z_Blue Collar,62,Commercial,"$9,360",4,Sports Car,no,$0,0.0,No,0,6195.0,,1,Highly Urban/ Urban,16438,PA
