brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
103378.0,for_sale,105000.0,3.0,2.0,0.12,1962661.0,Adjuntas,Puerto Rico,601.0,920.0,
103379.0,for_sale,67000.0,2.0,1.0,0.15,1404990.0,Juana Diaz,Puerto Rico,795.0,748.0,
31239.0,for_sale,145000.0,4.0,2.0,0.1,1947675.0,Ponce,Puerto Rico,731.0,1800.0,
34632.0,for_sale,65000.0,6.0,2.0,0.05,331151.0,Mayaguez,Puerto Rico,680.0,,
103378.0,for_sale,179000.0,4.0,3.0,0.46,1850806.0,San Sebastian,Puerto Rico,612.0,2520.0,
1205.0,for_sale,50000.0,3.0,1.0,0.2,1298094.0,Ciales,Puerto Rico,639.0,2040.0,
81909.0,for_sale,100000.0,2.0,1.0,0.09,734904.0,Ponce,Puerto Rico,730.0,1092.0,
65672.0,for_sale,300000.0,5.0,3.0,7.46,1946226.0,Las Marias,Puerto Rico,670.0,5403.0,
52707.0,for_sale,89000.0,3.0,2.0,13.39,1902814.0,Isabela,Puerto Rico,662.0,1106.0,
46019.0,for_sale,155000.0,3.0,2.0,0.1,1946165.0,Lares,Puerto Rico,669.0,4161.0,
52707.0,for_sale,79000.0,5.0,2.0,0.12,1761024.0,Utuado,Puerto Rico,641.0,1620.0,
50739.0,for_sale,120000.0,3.0,2.0,0.08,17854.0,Yauco,Puerto Rico,698.0,1100.0,
12876.0,for_sale,105000.0,3.0,2.0,0.08,1868721.0,Ponce,Puerto Rico,728.0,1500.0,
109906.0,for_sale,575000.0,3.0,2.0,3.88,1312671.0,San Sebastian,Puerto Rico,685.0,4000.0,
46019.0,for_sale,140000.0,6.0,3.0,0.25,6710.0,Anasco,Puerto Rico,610.0,1230.0,
52707.0,for_sale,165000.0,6.0,3.0,0.1,117231.0,Moca,Puerto Rico,676.0,3000.0,
81909.0,for_sale,189000.0,3.0,1.0,2.0,1307740.0,Coamo,Puerto Rico,769.0,1213.0,
52707.0,for_sale,115000.0,3.0,2.0,,481889.0,Ponce,Puerto Rico,716.0,1148.0,
87549.0,for_sale,93000.0,4.0,2.0,0.11,1854860.0,Guayanilla,Puerto Rico,656.0,1300.0,
52707.0,for_sale,189000.0,6.0,3.0,1.75,1902849.0,Villalba,Puerto Rico,766.0,1943.0,
52707.0,for_sale,225000.0,5.0,4.0,0.12,1987398.0,Ponce,Puerto Rico,717.0,1600.0,
67133.0,for_sale,495000.0,4.0,2.0,3.08,1962660.0,Santa Isabel,Puerto Rico,757.0,2886.0,
63639.0,for_sale,3900000.0,6.0,6.0,0.94,269007.0,Penuelas,Puerto Rico,624.0,9297.0,
80224.0,for_sale,380000.0,,,18.45,1855421.0,Hatillo,Puerto Rico,659.0,,
52707.0,for_sale,95000.0,3.0,2.0,0.1,1868667.0,Aguada,Puerto Rico,602.0,600.0,
107152.0,for_sale,215000.0,3.0,2.0,0.22,595559.0,Aguadilla,Puerto Rico,603.0,2070.0,
103378.0,for_sale,98000.0,5.0,2.0,4.55,1850836.0,Maricao,Puerto Rico,606.0,2156.0,
102017.0,for_sale,125000.0,8.0,5.0,0.09,436480.0,Hormigueros,Puerto Rico,660.0,2000.0,
52707.0,for_sale,95000.0,2.0,2.0,0.15,595722.0,Guanica,Puerto Rico,653.0,1393.0,
57043.0,for_sale,330000.0,3.0,2.0,1.75,1902816.0,Cabo Rojo,Puerto Rico,623.0,1620.0,
51202.0,for_sale,87000.0,3.0,1.0,0.04,13690.0,Mayaguez,Puerto Rico,682.0,,
52707.0,for_sale,70000.0,3.0,1.0,0.08,387673.0,San German,Puerto Rico,683.0,894.0,
102017.0,for_sale,950000.0,9.0,8.0,0.17,1854848.0,Rincon,Puerto Rico,677.0,3852.0,
81495.0,for_sale,495000.0,4.0,3.0,0.4,1446813.0,Lajas,Puerto Rico,667.0,6500.0,
40689.0,for_sale,185000.0,5.0,3.0,0.07,869853.0,Manati,Puerto Rico,674.0,1700.0,
1589.0,for_sale,210000.0,3.0,2.0,0.25,913609.0,Morovis,Puerto Rico,687.0,2500.0,
103378.0,for_sale,174900.0,3.0,2.0,0.08,1985068.0,Barceloneta,Puerto Rico,617.0,1195.0,
60831.0,for_sale,3000000.0,,6.0,1.38,1836183.0,Quebradillas,Puerto Rico,678.0,3000.0,
103379.0,for_sale,134000.0,3.0,2.0,0.07,733378.0,Vega Baja,Puerto Rico,693.0,895.0,
59533.0,for_sale,161000.0,4.0,2.0,0.09,435967.0,Caguas,Puerto Rico,727.0,1100.0,
1123.0,for_sale,425000.0,3.0,2.0,0.21,1856906.0,Camuy,Puerto Rico,627.0,2400.0,
92147.0,for_sale,95000.0,5.0,2.0,0.16,151105.0,Quebradillas,Puerto Rico,95000.0,1757.0,
19801.0,for_sale,59200.0,2.0,1.0,0.08,594668.0,Dorado,Puerto Rico,646.0,700.0,
1205.0,for_sale,63800.0,3.0,1.0,0.07,13692.0,Toa Baja,Puerto Rico,949.0,950.0,
86129.0,for_sale,45000.0,3.0,2.0,0.09,1168757.0,Toa Alta,Puerto Rico,953.0,1000.0,
19801.0,for_sale,100000.0,5.0,3.0,0.61,1547175.0,Vega Alta,Puerto Rico,692.0,1400.0,
81909.0,for_sale,80000.0,4.0,2.0,0.19,1584559.0,Corozal,Puerto Rico,783.0,1500.0,
81909.0,for_sale,55000.0,2.0,2.0,1.22,1913924.0,Naranjito,Puerto Rico,719.0,1500.0,
31239.0,for_sale,97000.0,1.0,2.0,,1988142.0,Cabo Rojo,Puerto Rico,622.0,900.0,
77601.0,for_sale,115000.0,,,0.42,1009987.0,Cabo Rojo,Puerto Rico,636.0,,
81909.0,for_sale,135000.0,3.0,2.0,,466228.0,Carolina,Puerto Rico,987.0,1248.0,
31239.0,for_sale,130000.0,3.0,2.0,0.1,1946163.0,Sabana Grande,Puerto Rico,637.0,1290.0,
103379.0,for_sale,89000.0,3.0,2.0,1.17,603617.0,Ciales,Puerto Rico,638.0,1000.0,
62066.0,for_sale,58000.0,3.0,1.0,0.05,965293.0,Ponce,Puerto Rico,,790.0,
52270.0,for_sale,76900.0,3.0,2.0,,1873083.0,Canovanas,Puerto Rico,729.0,1200.0,28-02-2020
52707.0,for_sale,120000.0,3.0,2.0,0.09,1903696.0,Jayuya,Puerto Rico,664.0,1100.0,
46667.0,for_sale,299000.0,4.0,2.0,0.09,1951672.0,Trujillo Alto,Puerto Rico,976.0,1700.0,
52707.0,for_sale,28000.0,,,0.12,1902836.0,Florida,Puerto Rico,650.0,,
99732.0,for_sale,497000.0,,,,1902842.0,Arecibo,Puerto Rico,652.0,,
109906.0,for_sale,102000.0,3.0,1.0,0.07,1879245.0,Vega Alta,Puerto Rico,962.0,1025.0,
52707.0,for_sale,180000.0,,,28.07,1902756.0,Corozal,Puerto Rico,873.0,,
3633.0,for_sale,77000.0,6.0,3.0,1.4,1798657.0,Juncos,Puerto Rico,777.0,2392.0,
52707.0,for_sale,145000.0,1.0,1.0,,1840567.0,Guanica,Puerto Rico,647.0,729.0,
103378.0,for_sale,54900.0,,,0.2,1855936.0,Camuy,Puerto Rico,661.0,,
43374.0,for_sale,125000.0,3.0,1.0,0.17,458189.0,Juana Diaz,Puerto Rico,715.0,1080.0,
103379.0,for_sale,85000.0,6.0,4.0,0.79,12687.0,Orocovis,Puerto Rico,720.0,2345.0,
3633.0,for_sale,103000.0,7.0,4.0,0.69,1843284.0,Toa Alta,Puerto Rico,972.0,2106.0,
52270.0,for_sale,108000.0,3.0,2.0,,1831538.0,Vega Baja,Puerto Rico,963.0,1120.0,
52707.0,for_sale,175000.0,3.0,2.0,0.1,1884156.0,Arecibo,Puerto Rico,613.0,1211.0,
52707.0,for_sale,145000.0,3.0,3.0,0.36,1902850.0,Barranquitas,Puerto Rico,794.0,1015.0,
67333.0,for_sale,115000.0,6.0,2.0,0.39,1857228.0,Coamo,Puerto Rico,725.0,2329.0,
3633.0,for_sale,167000.0,3.0,2.0,1.15,1884181.0,Coamo,Puerto Rico,765.0,1326.0,
59533.0,for_sale,73300.0,3.0,2.0,0.1,16116.0,Fajardo,Puerto Rico,738.0,1150.0,
52270.0,for_sale,94000.0,3.0,2.0,0.15,1842737.0,Comerio,Puerto Rico,782.0,996.0,
12434.0,for_sale,120000.0,4.0,2.0,0.15,1902811.0,Toa Baja,Puerto Rico,951.0,1600.0,
78414.0,for_sale,268000.0,3.0,1.0,1.12,1567511.0,Vega Alta,Puerto Rico,694.0,850.0,
52707.0,for_sale,210000.0,4.0,2.0,0.12,1913909.0,Aguadilla,Puerto Rico,605.0,1800.0,
46475.0,for_sale,149995.0,6.0,2.0,1.46,1902848.0,Aibonito,Puerto Rico,705.0,2026.0,
52707.0,for_sale,115000.0,3.0,2.0,0.15,1952865.0,Arecibo,Puerto Rico,688.0,1108.0,
